District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Source URL,Office type,Office type,Address
Abbotsford South,MLA,Darryl Plecas,Darryl,Plecas,,Independent,darryl.plecas.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Plecas-Darryl,legislature,constituency,"#304 - 2031 McCallum Rd., Abbotsford, BC V2S 3N5"
Abbotsford West,MLA,Michael de Jong,Michael de,Jong,,British Columbia Liberal Party,mike.dejong.mla@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/dejong-Michael,legislature,constituency,"103 - 32660 George Ferguson Way, Abbotsford"
Abbotsford-Mission,MLA,Simon Gibson,Simon,Gibson,,British Columbia Liberal Party,simon.gibson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Gibson-Simon,legislature,constituency,"33058 First Avenue, Mission, BC V2V 1G3"
Boundary-Similkameen,MLA,Linda Larson,Linda,Larson,,British Columbia Liberal Party,linda.larson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Larson-Linda,legislature,constituency,"Box 998 - 6369 Main Street, Oliver, BC V0H 1T0"
Burnaby North,MLA,Janet Routledge,Janet,Routledge,,New Democratic Party of British Columbia,janet.routledge.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Routledge-Janet,legislature,constituency,"1833 Willingdon Ave., Burnaby, BC V5C 5R3"
Burnaby-Deer Lake,MLA,Anne Kang,Anne,Kang,,New Democratic Party of British Columbia,anne.kang.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Kang-Anne,legislature,constituency,"105-6411 Nelson Ave, Burnaby, BC V5H 4C3"
Burnaby-Edmonds,MLA,Raj Chouhan,Raj,Chouhan,,New Democratic Party of British Columbia,raj.chouhan.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Chouhan-Raj,legislature,constituency,"5234 Rumble St., Burnaby, BC V5J 2B6"
Burnaby-Lougheed,MLA,Katrina Chen,Katrina,Chen,,New Democratic Party of British Columbia,katrina.chen.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Chen-Katrina,legislature,constituency,"Unit #3 - 8699 10th Avenue, Burnaby, BC V3N 2S9"
Cariboo North,MLA,Coralee Oakes,Coralee,Oakes,,British Columbia Liberal Party,coralee.oakes.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Oakes-Coralee,legislature,constituency,"401 - 410 Kinchant St., Quesnel, BC V2J 7J5"
Cariboo-Chilcotin,MLA,Donna Barnett,Donna,Barnett,,British Columbia Liberal Party,donna.barnett.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Barnett-Donna,legislature,constituency,"7-530 Horse Lake Road, PO Box 95, 100 Mile House, BC V0K 2E0"
