District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Annapolis,MLA,Honourable Stephen McNeil,Honourable Stephen,McNeil,,Nova Scotia Liberal Party,stephenmcneil@ns.aliantzinc.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/stephen-mcneil,,,,,,,constituency,,1 902 825-2093,
Antigonish,MLA,Randy Delorey,Randy,Delorey,,Nova Scotia Liberal Party,office@antigonishmla.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/randy-delorey,,,,,,,constituency,,1 902 870-5899,
Argyle-Barrington,MLA,Colton LeBlanc,Colton,LeBlanc,,Progressive Conservative Association of Nova Scotia,info@coltonleblanc.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/colton-leblanc,,,,,,,constituency,,1 902 648-2020,
Bedford,MLA,Honourable Kelly Regan,Honourable Kelly,Regan,,Nova Scotia Liberal Party,kelly@kellyregan.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/kelly-regan,,,,,,,constituency,,1 902 407-3777,
Cape Breton Centre,MLA,Kendra Coombes,Kendra,Coombes,,Nova Scotia New Democratic Party,kendracoombesmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/kendra-coombes,,,,,,,constituency,,1 902 862-6337,
Cape Breton-Richmond,MLA,Alana Paon,Alana,Paon,,Independent,mla_assistant@alanapaon.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/alana-paon,,,,,,,constituency,,1 902 535-3500,
Chester-St. Margaret's,MLA,Hugh MacKay,Hugh,MacKay,,Independent,info@hughmackay.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/hugh-mackay,,,,,,,constituency,,1 902 826-0222,
Clare-Digby,MLA,Honourable Gordon Wilson,Honourable Gordon,Wilson,,Nova Scotia Liberal Party,info@claredigby.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/gordon-l-wilson,,,,,,,constituency,,1 902 769-6683,
Clayton Park West,MLA,Rafah DiCostanzo,Rafah,DiCostanzo,,Nova Scotia Liberal Party,Rafah@Rafahdicostanzo.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/rafah-dicostanzo,,,,,,,constituency,,1 902 443-8318,
Colchester North,MLA,Honourable Karen Lynn Casey,Honourable Karen Lynn,Casey,,Nova Scotia Liberal Party,karencasey@eastlink.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/karen-casey,,,,,,,constituency,,1 902 641-2200,
Colchester-Musquodoboit Valley,MLA,Larry Harrison,Larry,Harrison,,Progressive Conservative Association of Nova Scotia,larryharrisonmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/larry-harrison,,,,,,,constituency,,1 902 639-1010,
Cole Harbour-Eastern Passage,MLA,Barbara Adams,Barbara,Adams,,Progressive Conservative Association of Nova Scotia,barbadamsmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/barbara-adams,,,,,,,constituency,,1 902 406-0656,
Cole Harbour-Portland Valley,MLA,Honourable Tony Ince,Honourable Tony,Ince,,Nova Scotia Liberal Party,tonyince@tonyincemla.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/tony-ince,,,,,,,constituency,,1 902 406-3288,
Cumberland North,MLA,Elizabeth Smith-McCrossin,Elizabeth,Smith-McCrossin,,Progressive Conservative Association of Nova Scotia,mla@esmithmccrossinmla.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/elizabeth-smith-mccrossin,,,,,,,constituency,,1 902 661-2288,
Cumberland South,MLA,Tory Rushton,Tory,Rushton,,Progressive Conservative Association of Nova Scotia,toryrushtonmla@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/tory-rushton,,,,,,,constituency,,1 902 597-4039,
Dartmouth East,MLA,Tim Halman,Tim,Halman,,Progressive Conservative Association of Nova Scotia,timhalmanmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/tim-halman,,,,,,,constituency,,1 902 469-7353,
Dartmouth North,MLA,Susan Leblanc,Susan,Leblanc,,Nova Scotia New Democratic Party,susanleblancMLA@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/susan-leblanc,,,,,,,constituency,,1 902 463-6670,
Dartmouth South,MLA,Claudia Chender,Claudia,Chender,,Nova Scotia New Democratic Party,claudiachendermla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/claudia-chender,,,,,,,constituency,,1 902 406-2301,
Eastern Shore,MLA,Honourable Kevin Murphy,Honourable Kevin,Murphy,,Nova Scotia Liberal Party,info@kevinmurphy.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/kevin-murphy,,,,,,,constituency,,1 902 281-3005,
Fairview-Clayton Park,MLA,Honourable Patricia Arab,Honourable Patricia,Arab,,Nova Scotia Liberal Party,info@patriciaarab.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/patricia-arab,,,,,,,constituency,,1 902 329-8683,
Glace Bay,MLA,Honourable Geoff MacLellan,Honourable Geoff,MacLellan,,Nova Scotia Liberal Party,mla@geoffmaclellan.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/geoff-maclellan,,,,,,,constituency,,1 902 842-4390,
Guysborough-Eastern Shore-Tracadie,MLA,Honourable Lloyd Hines,Honourable Lloyd,Hines,,Nova Scotia Liberal Party,lphines@ns.sympatico.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/lloyd-hines,,,,,,,constituency,,1 902 533-2280,
