District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Alberton-Roseville,MLA,Pat Murphy,Pat,Murphy,,,pwmurphy@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/patrick_murphy_scaled.jpg?1279,http://www.assembly.pe.ca/index.php3?number=1028697,,,,,,
Belfast-Murray River,MLA,Darlene Compton,Darlene,Compton,,,dcompton@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/darlenecompton_scaled.jpg?3547,http://www.assembly.pe.ca/index.php3?number=1028675,,,,,,,legislature,,1 902 368-4360,
Borden-Kinkora,MLA,Jamie Fox,Jamie,Fox,,,jdfox@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/jamie_fox_scaled.jpg?2576,http://www.assembly.pe.ca/index.php3?number=1028690,,,,,,,legislature,,1 902 368-4360,
Charlottetown-Brighton,MLA,Jordan Brown,Jordan,Brown,,,jbrown@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/jordan_brown_scaled.jpg?8730,http://www.assembly.pe.ca/index.php3?number=1028684,,,,,,,legislature,,1 902 368-4610,
Charlottetown-Lewis Point,MLA,Kathleen Casey,Kathleen,Casey,,,kmcasey@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/kathleen_casey_scaled.jpg?5601,http://www.assembly.pe.ca/index.php3?number=1028685,,,,,,,legislature,,1 902 620-3851,
Charlottetown-Parkdale,MLA,Hannah Bell,Hannah,Bell,,,hebell@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/picture1.png?2015,http://www.assembly.pe.ca/index.php3?number=1055793,,,,,,,legislature,,1 902 620-3977,
Charlottetown-Sherwood,MLA,Robert Mitchell,Robert,Mitchell,,,rjmitchell@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/robert_mitchell_scaled.jpg?9549,http://www.assembly.pe.ca/index.php3?number=1028681,,,,,,,legislature,,1 902 368-5250,
Charlottetown-Victoria Park,MLA,Richard Brown,Richard,Brown,,,rebrown@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/richard_brown_scaled.jpg?1430,http://www.assembly.pe.ca/index.php3?number=1028683,,,,,,
Cornwall-Meadowbank,MLA,Heath MacDonald,Heath,MacDonald,,,hmacdonald@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/heath_macdonald_scaled.jpg?1288,http://www.assembly.pe.ca/index.php3?number=1028687,,,,,,,legislature,,1 902 368-4050,
Evangeline-Miscouche,MLA,Sonny Gallant,Sonny,Gallant,,,sjgallant@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/sonny_gallant_scaled.jpg?2924,http://www.assembly.pe.ca/index.php3?number=1028695,,,,,,,legislature,,1 902 368-4801,
